1,Apple,MacBook Air,8,MacOS,10.13 High Sierra,1199.00
2,Apple,MacBook,16,MacOS,10.13 High Sierra,1599.00
3,Apple,MacBook Pro,16,MacOS,10.13 High Sierra,1699.00
4,Lenovo,ThinkPad X1 Carbon,16,Windows,10 Home,1147.34
5,Lenovo,ThinkPad X390 Yoga,16,Windows,10 Home,1869.00
6,Lenovo,IdeaPad 130S,2,Windows,10 Home,274.99
7,Dell,XPS 15,8,Windows,10 Pro,1329.99
8,Dell,XPS 13,8,Windows,10 Pro,1199.99
9,Dell,Inspiration 15 3000,4,Windows,10 Home,419.99
10,Google,Pixelbook,8,Chrome OS,74,1299.00
11,Asus,VivoBook F510UA Thin,8,Windows,10 Home,728.43
12,Asus,Chromebook C523,4,Chrome OS,74,349.99
